"id","name","is_locked","created_date","updated_date","acronym","slug","slug_index","description","hub_image","category_id","discussion_count","paper_count","subscriber_count","is_removed"
250,"art",FALSE,"2020-08-12 04:32:44.721115+00","2022-01-12 00:14:00.58141+00","","art-1",1,"Practice-based, historical, and contemporary research related to visual culture and its wider implications","uploads/hub_images/2020/10/07/art.jpg",10,28,2524,1160,FALSE
391,"marine biology",FALSE,"2020-11-21 05:31:13.912369+00","2021-09-07 17:51:27.470995+00","","marine-biology",,"The study of organisms and ecosystems in the ocean and other saltwater environments.","uploads/hub_images/2020/11/21/marine_biology.jpeg",2,9,14,43,FALSE
424,"occupational therapy",FALSE,"2022-01-06 06:22:01.833773+00","2022-01-06 06:22:01.833798+00","","occupational-therapy",,"The study of how to develop, recover, or maintain the meaningful activities, or occupations, of individuals, groups, or communities","uploads/hub_images/2022/01/06/occupational_Therapy.jpeg",3,43,42,9,FALSE
427,"cybersec",FALSE,"2022-02-03 00:03:04.506461+00","2022-02-03 01:46:52.265902+00","","cybersec",,"Cyber security","",4,111,111,111,TRUE
11,"other",FALSE,"2019-12-10 03:02:36.86943+00","2021-09-07 17:51:25.21819+00","","other",,"This hub contains papers which don't fit anywhere else.","",1,74,55943,13,TRUE
398,"dentistry",FALSE,"2021-05-20 03:09:04.050712+00","2022-03-18 18:57:35.991601+00","","dentistry",,"The study, diagnosis, prevention, and treatment of diseases, disorders, and conditions of the oral cavity and maxillofacial area.","uploads/hub_images/2021/05/20/teeth.jpeg",3,27,13,10,FALSE
394,"veterinary medicine",FALSE,"2021-02-17 05:21:39.81372+00","2021-12-28 21:01:49.614565+00","VET","veterinary-science",,"Veterinary medicine is the branch of medicine that deals with the prevention, control, diagnosis, and treatment of disease, disorder, and injury in animals.","",3,34,1482,12,FALSE
31,"chemistry",FALSE,"2020-04-01 17:16:37.870045+00","2021-09-07 17:51:27.318583+00","","chemistry",,"Discipline for exploring the composition, structure, and properties of matter.","uploads/hub_images/2020/10/07/chemistry.jpg",7,23,19055,118,FALSE
241,"abstract algebra",FALSE,"2020-08-04 15:08:29.889283+00","2021-09-07 17:51:35.31123+00","","abstract-algebra",,"The study of algebraic structures, such as groups, rings, and algebras.","uploads/hub_images/2020/10/07/abstract-algebra.jpg",6,6,19,66,FALSE
21,"environmental science",FALSE,"2020-01-21 06:27:41.053235+00","2021-09-07 17:51:39.80544+00","","environmental-science",,"A multidisciplinary field dedicated to understanding changes in the environment.","uploads/hub_images/2020/10/07/environmental-science.jpg",2,62,16081,1210,FALSE
34,"geology",FALSE,"2020-04-01 17:18:20.259079+00","2021-09-07 17:51:27.447758+00","","geology",,"The study of history, composition and physical aspects of the Earth.","uploads/hub_images/2020/10/07/geology.jpg",2,17,6444,76,FALSE
