ITEM_ID,ITEM_TYPE,HUB_L1,HUB_L2,HUB_IDS,AUTHOR_IDS,CREATION_TIMESTAMP,TEXT,TITLE,UPVOTE_SCORE,BLUESKY_COUNT_TOTAL,TWEET_COUNT_TOTAL,CITATION_COUNT_TOTAL,HAS_ACTIVE_BOUNTY,BOUNTY_HAS_SOLUTIONS,RFP_IS_OPEN,RFP_HAS_APPLICANTS,PROPOSAL_IS_OPEN,PROPOSAL_HAS_FUNDERS
2,PAPER,6781,6835,6835|12919|7120|8996|9985|6836|6781|8967|6990|6793,35216|35217|35218,1671580800,"Inheritance of paternal DNA damage by histone-mediated repair restriction How paternal exposure to ionizing radiation affects genetic inheritance and disease risk in the offspring has been a long-standing question in radiation biology. In humans, nearly 80% of transmitted mutations arise in the paternal germline1, but the transgenerational effects of ionizing radiation exposure has remained controversial and the mechanisms are unknown. Here we show that in sex-separated Caenorhabditis elegans strains, paternal, but not maternal, exposure to ionizing radiation leads to transgenerational embryonic lethality. The offspring of irradiated males displayed various genome instability phenotypes, including DNA fragmentation, chromosomal rearrangement and aneuploidy. Paternal DNA double strand breaks were repaired by maternally provided error-prone polymerase theta-mediated end joining. Mechanistically, we show that depletion of an orthologue of human histone H1.0, HIS-24, or the heterochromatin protein HPL-1, could significantly reverse the transgenerational embryonic lethality. Removal of HIS-24 or HPL-1 reduced histone 3 lysine 9 dimethylation and enabled error-free homologous recombination repair in the germline of the F1 generation from ionizing radiation-treated P0 males, consequently improving the viability of the F2 generation. This work establishes the mechanistic underpinnings of the heritable consequences of paternal radiation exposure on the health of offspring, which may lead to congenital disorders and cancer in humans. biology,gene,molecular biology,genetics,dna,dna damage,dna repair,histone,inheritance (genetic algorithm),pediatrics, perinatology and child health",Inheritance of paternal DNA damage by histone-mediated repair restriction,1,,,29,False,False,False,False,False,False
3,PAPER,6854,7363,12836|12840|8175|8262|6807|7754|13242|9381|7208|13243|8176|6987|6781|6810|6794|8177|6793|7241|6854|6971|7363|6836,35148|35149|35150|35151|8642|168|5512|389,1694563200,"Quantifying the causal impact of biological risk factors on healthcare costs Abstract Understanding the causal impact that clinical risk factors have on healthcare-related costs is critical to evaluate healthcare interventions. Here, we used a genetically-informed design, Mendelian Randomization (MR), to infer the causal impact of 15 risk factors on annual total healthcare costs. We calculated healthcare costs for 373,160 participants from the FinnGen Study and replicated our results in 323,774 individuals from the United Kingdom and Netherlands. Robust causal effects were observed for waist circumference (WC), adult body mass index, and systolic blood pressure, in which a standard deviation increase corresponded to 22.78% [95% CI: 18.75-26.95], 13.64% [10.26-17.12], and 13.08% [8.84-17.48] increased healthcare costs, respectively. A lack of causal effects was observed for certain clinically relevant biomarkers, such as albumin, C-reactive protein, and vitamin D. Our results indicated that increased WC is a major contributor to annual total healthcare costs and more attention may be given to WC screening, surveillance, and mitigation. biology,gene,biochemistry,medicine,pathology,genetics,economics,economic growth,internal medicine,environmental health,genotype,psychiatry,psychological intervention,mendelian randomization,causal inference,genetic variants,health care,body mass index,economics and econometrics,statistics and probability,waist,marginal structural model",Quantifying the causal impact of biological risk factors on healthcare costs,0,,,4,False,False,False,False,False,False
6,PAPER,,,,,1698796800,"The Relationship Between Cardiac Troponin in People Hospitalised for Exacerbation of COPD and Major Adverse Cardiac Events (MACE) and COPD Readmissions Background No single biomarker currently risk stratifies chronic obstructive pulmonary disease (COPD) patients at the time of an exacerbation, though previous studies have suggested that patients with elevated troponin at exacerbation have worse outcomes. This study evaluated the relationship between peak cardiac troponin and subsequent major adverse cardiac events (MACE) including all-cause mortality and COPD hospital readmission, among patients admitted with COPD exacerbation. Methods Data from five cross-regional hospitals in England were analysed using the National Institute of Health Research Health Informatics Collaborative (NIHR-HIC) acute coronary syndrome database (2008–2017). People hospitalised with a COPD exacerbation were included, and peak troponin levels were standardised relative to the 99th percentile (upper limit of normal). We used Cox Proportional Hazard models adjusting for age, sex, laboratory results and clinical risk factors, and implemented logarithmic transformation (base-10 logarithm). The primary outcome was risk of MACE within 90 days from peak troponin measurement. Secondary outcome was risk of COPD readmission within 90 days from peak troponin measurement. Results There were 2487 patients included. Of these, 377 (15.2%) patients had a MACE event and 203 (8.2%) were readmitted within 90 days from peak troponin measurement. A total of 1107 (44.5%) patients had an elevated troponin level. Of 1107 patients with elevated troponin at exacerbation, 256 (22.8%) had a MACE event and 101 (9.0%) a COPD readmission within 90 days from peak troponin measurement. Patients with troponin above the upper limit of normal had a higher risk of MACE (adjusted HR 2.20, 95% CI 1.75–2.77) and COPD hospital readmission (adjusted HR 1.37, 95% CI 1.02–1.83) when compared with patients without elevated troponin. Conclusion An elevated troponin level at the time of COPD exacerbation may be a useful tool for predicting MACE in COPD patients. The relationship between degree of troponin elevation and risk of future events is complex and requires further investigation.",The Relationship Between Cardiac Troponin in People Hospitalised for Exacerbation of COPD and Major Adverse Cardiac Events (MACE) and COPD Readmissions,0,,,0,False,True,False,False,False,False
8,PAPER,6782,,7553|6782|6827|6828,566,1649289600,"Are there any absolute truths left?  mathematics,philosophy,epistemology,absolute (philosophy)",Are there any absolute truths left?,0,,,0,False,False,False,False,False,False
9,PAPER,6834,6788,7276|6834|7542|6797|6788,567,1658275200,"test post  organic chemistry,paleontology,computer science,test (biology),geology",test post,2,,,0,False,False,False,False,False,False
11,QUESTION,,,,,1701812249,test 00000001 ets fsdf dsfds,test 00000001,3,,,,False,False,False,False,False,False
13,QUESTION,,,,,1701815032,Test 0000002 sdf asdf adsfd asfadsfafsa,Test 0000002,0,,,,False,True,False,False,False,False
15,QUESTION,,,,,1701891190,sf dsf dsfdsf ddfs sd sdfdsf,sf dsf dsfdsf ddfs sd,1,,,,False,False,False,False,False,False
22,QUESTION,,,,,1702482433,ABCDEDFGsdfdsfsfd HELLOW&nbsp;,ABCDEDFGsdfdsfsfd,0,,,,False,False,False,False,False,False
24,QUESTION,,,,,1702570392,This is a test question test question yo yo yo,This is a test question,0,,,,False,False,False,False,False,False
