ITEM_ID,ITEM_TYPE,HUB_L1,HUB_L2,HUB_IDS,AUTHOR_IDS,CREATION_TIMESTAMP,TEXT,TITLE,UPVOTE_SCORE,BLUESKY_COUNT_TOTAL,TWEET_COUNT_TOTAL,CITATION_COUNT_TOTAL,PEER_REVIEW_COUNT_TOTAL,HAS_ACTIVE_BOUNTY,BOUNTY_HAS_SOLUTIONS,RFP_IS_OPEN,RFP_HAS_APPLICANTS,PROPOSAL_IS_OPEN,PROPOSAL_HAS_FUNDERS
11,QUESTION,,,,,1701812249,test 00000001 ets fsdf dsfds,test 00000001,3,0,0,0,0,False,False,False,False,False,False
13,QUESTION,,,,,1701815032,Test 0000002 sdf asdf adsfd asfadsfafsa,Test 0000002,0,0,0,0,0,False,True,False,False,False,False
14,QUESTION,,,11892,,1701873873,Asking a question as a test2 This is a test bioavailability,Asking a question as a test2,1,0,0,0,0,False,False,False,False,False,False
15,QUESTION,,,,,1701891190,sf dsf dsfdsf ddfs sd sdfdsf,sf dsf dsfdsf ddfs sd,1,0,0,0,0,False,False,False,False,False,False
22,QUESTION,,,,,1702482433,ABCDEDFGsdfdsfsfd HELLOW&nbsp;,ABCDEDFGsdfdsfsfd,0,0,0,0,0,False,False,False,False,False,False
23,QUESTION,,,,,1702485330,Test 00000000000000000 Test 00000000000000000,Test 00000000000000000,0,0,0,0,0,False,False,False,False,False,False
24,QUESTION,,,,,1702570392,This is a test question test question yo yo yo,This is a test question,0,0,0,0,0,False,False,False,False,False,False
26,POST,,,,,1702572558,This Is A Test Post LLM post sdfjdlksjflks post sdfjdlksjflkspost sdfjdlksjflks post sdfjdlksjflkspost sdfjdlksjflkspost sdfjdlksjflks,This Is A Test Post LLM,0,0,0,0,1,False,True,False,False,False,False
28,QUESTION,,,,,1702586625,TESTESTETESTSTESTESTSETSE asdfasfdsafdasfsddfa,TESTESTETESTSTESTESTSETSE,0,0,0,0,0,False,False,False,False,False,False
41,POST,,,,2,1710807326,"Welcome to your new lab notebook! Do research with your lab-mates and collaborators in real-timeGet started by:Clicking the (+) button in the sidebar to create a new noteBrowsing the sidebar to see all of your lab's notesSelecting a templateIf you have any ideas or issues to share send a message to hello@ResearchHub.com. We love all of the feedback we can get our hands on :)How it worksResearchHub's ELN can help you and your labmates (1) draft notes and (2) gain visibility into all of the projects happening in your lab. This text editor is designed to help you collaboratively edit research lab notes with your teammates. Think of it like Google docs for science. Here's an overview of the most useful features:`Highlight` text to see a toolbar that helps you organize your thoughts and format your data:Feel free to add blocks of code or embed any images and videos that could help get your points across!Viewing the notes in your labThe left-hand sidebar is populated with all of the notes currently being used within your organization. Simply browse the titles and click on the notes you would like to check out!To switch between your organizations, click on the pulldown menu at the top of the left sidebar:",Welcome to your new lab notebook!,0,0,0,0,0,False,False,False,False,False,False
43,POST,,,,4,1710853524,this is a test stest,this is a test,1,0,0,0,0,False,False,False,False,False,False
45,POST,,,,4,1710878396,"Welcome to your new lab notebook! Do research with your lab-mates and collaborators in real-timeGet started by:Clicking the (+) button in the sidebar to create a new noteBrowsing the sidebar to see all of your lab's notesSelecting a templateIf you have any ideas or issues to share send a message to hello@ResearchHub.com. We love all of the feedback we can get our hands on :)How it worksResearchHub's ELN can help you and your labmates (1) draft notes and (2) gain visibility into all of the projects happening in your lab. This text editor is designed to help you collaboratively edit research lab notes with your teammates. Think of it like Google docs for science. Here's an overview of the most useful features:`Highlight` text to see a toolbar that helps you organize your thoughts and format your data:Feel free to add blocks of code or embed any images and videos that could help get your points across!Viewing the notes in your labThe left-hand sidebar is populated with all of the notes currently being used within your organization. Simply browse the titles and click on the notes you would like to check out!To switch between your organizations, click on the pulldown menu at the top of the left sidebar:",Welcome to your new lab notebook!,1,0,0,0,0,False,False,False,False,False,False
4594,POST,,6835,6835,4,1718297591,Untitled sdfdsfsfdsfdsfds molecular biology,Untitled,1,0,0,0,0,False,False,False,False,False,False
