Subfield,Bin 1 (90-100th %),Bin 2 (50-90th %),Bin 3 (10-50th %),Bin 4 (0-10th %)
Accounting,"[114528, 67]","[67, 12]","[12, 4]","[4, 0]"
Acoustics_and_Ultrasonics,"[10512, 124]","[124, 32]","[32, 13]","[13, 0]"
Aerospace_Engineering,"[50008, 81]","[81, 18]","[18, 7]","[7, 0]"
Aging,"[49141, 271]","[271, 70]","[70, 28]","[28, 0]"
Agronomy_and_Crop_Science,"[38716, 96]","[96, 22]","[22, 8]","[8, 0]"
Algebra_and_Number_Theory,"[6820, 87]","[87, 20]","[20, 7]","[7, 0]"
Analytical_Chemistry,"[32507, 88]","[88, 25]","[25, 10]","[10, 0]"
Anatomy,"[10079, 15]","[15, 4]","[4, 2]","[2, 0]"
Anesthesiology_and_Pain_Medicine,"[14760, 94]","[94, 25]","[25, 9]","[9, 0]"
Animal_Science_and_Zoology,"[188232, 105]","[105, 28]","[28, 11]","[11, 0]"
Anthropology,"[14599, 60]","[60, 11]","[11, 4]","[4, 0]"
Applied_Mathematics,"[25199, 97]","[97, 20]","[20, 7]","[7, 0]"
Applied_Microbiology_and_Biotechnology,"[23385, 88]","[88, 22]","[22, 8]","[8, 0]"
Applied_Psychology,"[78082, 116]","[116, 28]","[28, 11]","[11, 0]"
Aquatic_Science,"[27464, 95]","[95, 24]","[24, 9]","[9, 0]"
Archeology,"[6389, 44]","[44, 10]","[10, 4]","[4, 0]"
Architecture,"[2449, 16]","[16, 4]","[4, 2]","[2, 0]"
Artificial_Intelligence,"[147078, 113]","[113, 21]","[21, 7]","[7, 0]"
Astronomy_and_Astrophysics,"[163250, 588]","[588, 59]","[59, 15]","[15, 0]"
Atmospheric_Science,"[73685, 241]","[241, 47]","[47, 15]","[15, 0]"
Atomic_and_Molecular_Physics_and_Optics,"[312150, 271]","[271, 54]","[54, 18]","[18, 0]"
Automotive_Engineering,"[21256, 81]","[81, 18]","[18, 6]","[6, 0]"
Behavioral_Neuroscience,"[101131, 183]","[183, 53]","[53, 23]","[23, 0]"
Biochemistry,"[46042, 149]","[149, 43]","[43, 18]","[18, 0]"
Bioengineering,"[24197, 81]","[81, 26]","[26, 11]","[11, 0]"
Biological_Psychiatry,"[29719, 147]","[147, 44]","[44, 19]","[19, 0]"
Biomaterials,"[85286, 190]","[190, 50]","[50, 20]","[20, 0]"
Biomedical_Engineering,"[221131, 174]","[174, 41]","[41, 14]","[14, 0]"
Biophysics,"[112905, 123]","[123, 34]","[34, 13]","[13, 0]"
Biotechnology,"[24218, 124]","[124, 35]","[35, 14]","[14, 0]"
Building_and_Construction,"[26054, 83]","[83, 19]","[19, 6]","[6, 0]"
Business_and_International_Management,"[6349, 35]","[35, 8]","[8, 3]","[3, 0]"
Cancer_Research,"[125671, 239]","[239, 60]","[60, 24]","[24, 0]"
Cardiology_and_Cardiovascular_Medicine,"[159395, 198]","[198, 42]","[42, 14]","[14, 0]"
Catalysis,"[32394, 188]","[188, 49]","[49, 20]","[20, 0]"
Cellular_and_Molecular_Neuroscience,"[65746, 268]","[268, 67]","[67, 27]","[27, 0]"
Cell_Biology,"[86452, 205]","[205, 55]","[55, 22]","[22, 0]"
Ceramics_and_Composites,"[18682, 136]","[136, 36]","[36, 14]","[14, 0]"
Chemical_Health_and_Safety,"[590, 36]","[36, 10]","[10, 4]","[4, 0]"
Civil_and_Structural_Engineering,"[37296, 90]","[90, 18]","[18, 6]","[6, 0]"
Classics,"[4959, 35]","[35, 6]","[6, 2]","[2, 0]"
Clinical_Biochemistry,"[44565, 111]","[111, 33]","[33, 14]","[14, 0]"
Clinical_Psychology,"[83777, 134]","[134, 28]","[28, 9]","[9, 0]"
Cognitive_Neuroscience,"[129890, 253]","[253, 51]","[51, 17]","[17, 0]"
Communication,"[15609, 71]","[71, 14]","[14, 5]","[5, 0]"
Complementary_and_alternative_medicine,"[26655, 85]","[85, 23]","[23, 8]","[8, 0]"
Complementary_and_Manual_Therapy,"[14001, 67]","[67, 20]","[20, 7]","[7, 0]"
Computational_Mathematics,"[13216, 94]","[94, 22]","[22, 9]","[9, 0]"
Computational_Mechanics,"[85989, 113]","[113, 25]","[25, 9]","[9, 0]"
Computational_Theory_and_Mathematics,"[70509, 111]","[111, 25]","[25, 9]","[9, 0]"
Computer_Graphics_and_Computer-Aided_Design,"[13247, 69]","[69, 13]","[13, 5]","[5, 0]"
Computer_Networks_and_Communications,"[64139, 98]","[98, 18]","[18, 6]","[6, 0]"
Computer_Science_Applications,"[17566, 51]","[51, 11]","[11, 4]","[4, 0]"
Computer_Vision_and_Pattern_Recognition,"[305016, 106]","[106, 21]","[21, 7]","[7, 0]"
Condensed_Matter_Physics,"[56330, 233]","[233, 49]","[49, 18]","[18, 0]"
Conservation,"[4806, 26]","[26, 7]","[7, 3]","[3, 0]"
Control_and_Systems_Engineering,"[63539, 77]","[77, 15]","[15, 5]","[5, 0]"
Critical_Care_and_Intensive_Care_Medicine,"[54010, 113]","[113, 29]","[29, 11]","[11, 0]"
