Subfield,Piecewise Linear Function,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Slope_1,Intercept_1,Slope_2,Intercept_2,Slope_3,Intercept_3,Slope_4,Intercept_4,Slope_5,Intercept_5,Slope_6,Intercept_6,Slope_7,Intercept_7,Slope_8,Intercept_8,Total Calculated RSC,Total RSC (Ground Truth),Average RSC per Citation
Accounting,"Piecewise Linear Function:
Bin 1 [1,2]: log10(RSC) = 0.2965 * log10(Citations) + 0.5715
Bin 2 [2,8]: log10(RSC) = 0.4716 * log10(Citations) + 0.5070
Bin 3 [8,24]: log10(RSC) = 0.7961 * log10(Citations) + 0.2252
Bin 4 [24,59]: log10(RSC) = 1.2381 * log10(Citations) + -0.3721
Bin 5 [59,148]: log10(RSC) = 1.7365 * log10(Citations) + -1.2621
Bin 6 [148,331]: log10(RSC) = 1.8737 * log10(Citations) + -1.5431
Bin 7 [331,443]: log10(RSC) = 1.7005 * log10(Citations) + -1.1160
Bin 8 [443,461]: log10(RSC) = 14.0811 * log10(Citations) + -33.8862
","[1,2]","[2,8]","[8,24]","[24,59]","[59,148]","[148,331]","[331,443]","[443,461]",0.29653685309863714,0.5714564217425834,0.47158756941691465,0.5069573283678406,0.7960508424810373,0.2251807765713949,1.2380924068372519,-0.37209129781407224,1.7364962654136007,-1.2620952597959594,1.8737224834431756,-1.5431432114408032,1.700491179871951,-1.115965965408959,14.081145145562077,-33.88623696378078,457670.418618013,457670.41861818463,1.4704317720475022
Acoustics_and_Ultrasonics,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2166 * log10(Citations) + 0.3952
Bin 2 [4,13]: log10(RSC) = 0.5808 * log10(Citations) + 0.1635
Bin 3 [13,32]: log10(RSC) = 1.0556 * log10(Citations) + -0.3560
Bin 4 [32,61]: log10(RSC) = 1.5875 * log10(Citations) + -1.1570
Bin 5 [61,140]: log10(RSC) = 1.9824 * log10(Citations) + -1.8153
Bin 6 [140,200]: log10(RSC) = 1.7295 * log10(Citations) + -1.3314
Bin 7 [200,200]: log10(RSC) = 0.0000 * log10(Citations) + 2.7276
Bin 8 [200,200]: log10(RSC) = 0.0000 * log10(Citations) + 2.7276
","[1,4]","[4,13]","[13,32]","[32,61]","[61,140]","[140,200]","[200,200]","[200,200]",0.21657124971148572,0.39518941679188063,0.5807747876753973,0.16346278398913328,1.0555850272532226,-0.3559830732466428,1.5874604247454358,-1.1570231978226242,1.9824332489579268,-1.815317628845152,1.7294741975594454,-1.3313835681219413,0,2.7276152646739815,0,2.7276152646739815,18214.57524483226,18214.575244833723,0.7559169673320161
Aerospace_Engineering,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2636 * log10(Citations) + 0.3824
Bin 2 [3,10]: log10(RSC) = 0.5313 * log10(Citations) + 0.2490
Bin 3 [10,26]: log10(RSC) = 0.9369 * log10(Citations) + -0.1489
Bin 4 [26,60]: log10(RSC) = 1.3436 * log10(Citations) + -0.7088
Bin 5 [60,160]: log10(RSC) = 1.6531 * log10(Citations) + -1.2518
Bin 6 [160,359]: log10(RSC) = 1.8667 * log10(Citations) + -1.7541
Bin 7 [359,494]: log10(RSC) = 1.0508 * log10(Citations) + 0.4044
Bin 8 [494,1430]: log10(RSC) = 1.2473 * log10(Citations) + -0.1226
","[1,3]","[3,10]","[10,26]","[26,60]","[60,160]","[160,359]","[359,494]","[494,1430]",0.26361953555166395,0.38240072911003764,0.5312640019045695,0.24898386052475074,0.9368936426887948,-0.1489352697586166,1.3436077598045197,-0.708836932048057,1.6530749281588402,-1.2517839350382407,1.8666873929853267,-1.7541341132399557,1.050832052541524,0.4043890994381161,1.247331107431001,-0.12260657515137785,871176.2921900455,871176.292191268,0.8912891225290357
Aging,"Piecewise Linear Function:
Bin 1 [1,5]: log10(RSC) = 0.2076 * log10(Citations) + 0.4318
Bin 2 [5,15]: log10(RSC) = 0.5565 * log10(Citations) + 0.1973
Bin 3 [15,38]: log10(RSC) = 1.0172 * log10(Citations) + -0.3414
Bin 4 [38,93]: log10(RSC) = 1.2546 * log10(Citations) + -0.7095
Bin 5 [93,252]: log10(RSC) = 1.3247 * log10(Citations) + -0.8410
Bin 6 [252,1125]: log10(RSC) = 0.7948 * log10(Citations) + 0.6029
Bin 7 [1125,1125]: log10(RSC) = 0.0000 * log10(Citations) + 2.9915
Bin 8 [1125,1125]: log10(RSC) = 0.0000 * log10(Citations) + 2.9915
","[1,5]","[5,15]","[15,38]","[38,93]","[93,252]","[252,1125]","[1125,1125]","[1125,1125]",0.20755437082849315,0.43183527781372294,0.5564819548429804,0.19734163839798158,1.0172004822125473,-0.3414229547188028,1.254606150154885,-0.7094753115364754,1.324728766460909,-0.8409755430756436,0.7947597220561733,0.602902715930365,0,2.991535386840922,0,2.991535386840922,42148.81692270299,42148.81692270742,0.671523068583357
Agronomy_and_Crop_Science,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2710 * log10(Citations) + 0.4211
Bin 2 [3,9]: log10(RSC) = 0.5284 * log10(Citations) + 0.3029
Bin 3 [9,23]: log10(RSC) = 0.9705 * log10(Citations) + -0.1058
Bin 4 [23,47]: log10(RSC) = 1.5037 * log10(Citations) + -0.8144
Bin 5 [47,122]: log10(RSC) = 1.6448 * log10(Citations) + -1.0562
Bin 6 [122,273]: log10(RSC) = 1.6949 * log10(Citations) + -1.1499
Bin 7 [273,286]: log10(RSC) = 9.6941 * log10(Citations) + -20.5689
Bin 8 [286,351]: log10(RSC) = 2.3692 * log10(Citations) + -2.5499
","[1,3]","[3,9]","[9,23]","[23,47]","[47,122]","[122,273]","[273,286]","[286,351]",0.2710417500383215,0.42112851525301553,0.5283625381378647,0.30291407270920223,0.970508519065515,-0.10576763860146554,1.5036621439079885,-0.8143827581313421,1.6447545152679488,-1.056172084768754,1.6949359260190413,-1.149943279478828,9.694133301275539,-20.568854358632898,2.3692200393700937,-2.549908801162621,234023.74905369416,234023.74905372036,1.0901964439616427
Algebra_and_Number_Theory,"Piecewise Linear Function:
Bin 1 [1,2]: log10(RSC) = 0.4204 * log10(Citations) + 0.4957
Bin 2 [2,4]: log10(RSC) = 0.6699 * log10(Citations) + 0.4185
Bin 3 [4,11]: log10(RSC) = 1.0060 * log10(Citations) + 0.1973
Bin 4 [11,24]: log10(RSC) = 1.4019 * log10(Citations) + -0.1910
Bin 5 [24,56]: log10(RSC) = 1.7612 * log10(Citations) + -0.7098
Bin 6 [56,265]: log10(RSC) = 0.9875 * log10(Citations) + 0.7197
Bin 7 [265,265]: log10(RSC) = 0.0000 * log10(Citations) + 3.1051
Bin 8 [265,265]: log10(RSC) = 0.0000 * log10(Citations) + 3.1051
","[1,2]","[2,4]","[4,11]","[11,24]","[24,56]","[56,265]","[265,265]","[265,265]",0.42040285079810186,0.495745797447575,0.669925153658851,0.41846415873204906,1.0060116440617606,0.19731074024302464,1.4018574143609797,-0.19104201425763012,1.7611879832429325,-0.7097901349457203,0.9875176877817113,0.7196784500357569,0,3.1051385160273224,0,3.1051385160273224,69097.17860099988,69097.17860101895,2.157399107062566
Analytical_Chemistry,"Piecewise Linear Function:
Bin 1 [1,5]: log10(RSC) = 0.2154 * log10(Citations) + 0.3918
Bin 2 [5,14]: log10(RSC) = 0.5721 * log10(Citations) + 0.1553
Bin 3 [14,33]: log10(RSC) = 1.1175 * log10(Citations) + -0.4680
Bin 4 [33,66]: log10(RSC) = 1.5691 * log10(Citations) + -1.1338
Bin 5 [66,167]: log10(RSC) = 1.6886 * log10(Citations) + -1.3190
Bin 6 [167,513]: log10(RSC) = 1.5432 * log10(Citations) + -0.9959
Bin 7 [513,953]: log10(RSC) = 0.4583 * log10(Citations) + 1.8770
Bin 8 [953,1349]: log10(RSC) = 1.3963 * log10(Citations) + -0.9173
","[1,5]","[5,14]","[14,33]","[33,66]","[66,167]","[167,513]","[513,953]","[953,1349]",0.21535720139069411,0.3917699938733117,0.5720826654262257,0.1552541477448941,1.1174694908355882,-0.46801309467433205,1.569117437928965,-1.133839120980299,1.6885797777920972,-1.318969631418005,1.5431763886877359,-0.9959141698483243,0.4582717201313211,1.877020162860452,1.3962518205233554,-0.9173096951574813,204970.4860077283,204970.48600750783,0.7329877162454478
Anatomy,"Piecewise Linear Function:
Bin 1 [1,1]: log10(RSC) = 0.0000 * log10(Citations) + 0.8219
Bin 2 [1,3]: log10(RSC) = 0.6396 * log10(Citations) + 0.8192
Bin 3 [3,7]: log10(RSC) = 0.8982 * log10(Citations) + 0.7257
Bin 4 [7,20]: log10(RSC) = 0.9333 * log10(Citations) + 0.7194
Bin 5 [20,45]: log10(RSC) = 1.4208 * log10(Citations) + 0.1118
Bin 6 [45,448]: log10(RSC) = 0.2751 * log10(Citations) + 2.1402
Bin 7 [448,448]: log10(RSC) = 0.0000 * log10(Citations) + 2.8689
Bin 8 [448,448]: log10(RSC) = 0.0000 * log10(Citations) + 2.8689
","[1,1]","[1,3]","[3,7]","[7,20]","[20,45]","[45,448]","[448,448]","[448,448]",0,0.8219227540925989,0.6396121319735567,0.8192423579567188,0.8982041055214338,0.7256878097435255,0.9332610108468655,0.7193721974269086,1.4208029669343456,0.1118279353675713,0.2750673376916446,2.140217922719686,0,2.8689182543359157,0,2.8689182543359157,26838.271537634344,26838.27153763344,5.025893546373473
Anesthesiology_and_Pain_Medicine,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2846 * log10(Citations) + 0.4280
Bin 2 [3,8]: log10(RSC) = 0.5703 * log10(Citations) + 0.3002
Bin 3 [8,21]: log10(RSC) = 0.9524 * log10(Citations) + -0.0376
Bin 4 [21,51]: log10(RSC) = 1.2425 * log10(Citations) + -0.4094
Bin 5 [51,205]: log10(RSC) = 1.2135 * log10(Citations) + -0.3256
Bin 6 [205,449]: log10(RSC) = 1.5466 * log10(Citations) + -1.1845
Bin 7 [449,756]: log10(RSC) = 0.9313 * log10(Citations) + 0.5043
Bin 8 [756,756]: log10(RSC) = 0.0000 * log10(Citations) + 3.1850
","[1,3]","[3,8]","[8,21]","[21,51]","[51,205]","[205,449]","[449,756]","[756,756]",0.2846408488658936,0.42795797356187204,0.5702811362713502,0.30019216644175556,0.9523920678493997,-0.0375983794700796,1.2424823157019247,-0.4094232591387992,1.2134776343064513,-0.32563202743488184,1.5466054586831866,-1.1844771042007758,0.9312587502360241,0.5043078711065343,0,3.184956480912144,86430.9132144755,86430.91321447812,1.103561200389115
Animal_Science_and_Zoology,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2272 * log10(Citations) + 0.3906
Bin 2 [4,12]: log10(RSC) = 0.5643 * log10(Citations) + 0.1890
Bin 3 [12,30]: log10(RSC) = 1.0485 * log10(Citations) + -0.3297
Bin 4 [30,64]: log10(RSC) = 1.4245 * log10(Citations) + -0.8735
Bin 5 [64,154]: log10(RSC) = 1.9612 * log10(Citations) + -1.8219
Bin 6 [154,487]: log10(RSC) = 1.2325 * log10(Citations) + -0.2748
Bin 7 [487,797]: log10(RSC) = 0.9764 * log10(Citations) + 0.4479
Bin 8 [797,919]: log10(RSC) = 3.4066 * log10(Citations) + -6.6056
","[1,4]","[4,12]","[12,30]","[30,64]","[64,154]","[154,487]","[487,797]","[797,919]",0.2271766426418105,0.3906090827579385,0.5642635946247953,0.18902884478919163,1.0485427151022957,-0.32971573899588136,1.4245233630920175,-0.873511362075774,1.9611971920978593,-1.8218993417176141,1.232474598101235,-0.2748127153993831,0.9764020389035218,0.44793196753436204,3.4065724129863595,-6.605599950147074,235673.04267125437,235673.04267106834,0.8002751966832639
